"Ticker","Exchange","Company","Sector","Industry","Market Cap","Price","Change","Volume","Average Volume","Relative Volume","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Volatility (Week)","EPS Growth This Year","EPS Growth Quarter Over Quarter","Sales Growth Quarter Over Quarter","EPS Growth Next 5 Years","Institutional Transactions","Institutional Ownership","Short Float","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Change from Open"
"OMDA","NASD","Omada Health Inc","Healthcare","Health Information Services",1491.85,24.37,2.22%,1408225,1316.33,1.07,24.72%,2.70%,51.93%,122.76%,54.44%,21.30%,7.83%,198.62%,189.42%,43.12%,,-3.60%,63.16%,26.86%,12.17%,17.30%,44.00%,1.71%
"ZLAB","NASD","Zai Lab Limited ADR","Healthcare","Biotechnology",2936.44,26.03,2.12%,1041800,955.10,1.09,24.66%,27.35%,27.16%,36.78%,47.56%,-26.94%,9.72%,-38.36%,-21.77%,-3.52%,5.71%,-9.84%,24.03%,6.22%,26.06%,34.59%,32.45%,-0.69%
"GRRR","NASD","Gorilla Technology Group Inc","Technology","Software - Infrastructure",428.30,15.43,5.40%,997279,1503.02,0.66,24.64%,29.77%,11.33%,22.17%,41.30%,-12.33%,6.05%,-591.70%,-507.27%,54.61%,,-2.73%,13.93%,17.36%,23.34%,0.60%,12.71%,5.40%
"CRWV","NASD","CoreWeave Inc","Technology","Software - Infrastructure",57563.89,106.29,-1.34%,50408593,29396.59,1.71,24.56%,37.82%,-4.51%,11.71%,48.43%,-9.74%,6.20%,-163.28%,-79.20%,112.32%,,7.69%,50.26%,18.02%,29.45%,17.09%,14.17%,-0.79%
"NESR","NASD","National Energy Services Reunited Corp","Energy","Oil & Gas Equipment & Services",3620.58,35.90,3.10%,1827759,2235.30,0.82,24.44%,24.26%,34.51%,67.84%,129.25%,405.63%,6.58%,119.89%,173.86%,59.07%,62.48%,7.19%,81.89%,5.96%,23.06%,30.04%,65.25%,4.31%
"PSIX","NASD","Power Solutions International Inc","Industrials","Specialty Industrial Machinery",947.29,41.07,-3.43%,493988,602.76,0.82,24.38%,22.74%,-8.96%,-52.17%,-28.12%,-54.60%,7.58%,-41.23%,-67.08%,-20.51%,5.87%,1.14%,32.68%,24.03%,23.62%,14.93%,-30.36%,-4.20%
"RSKD","NYSE","Riskified Ltd","Technology","Software - Application",863.03,6.45,2.06%,2448929,1076.67,2.27,24.28%,25.24%,34.66%,46.26%,29.78%,24.28%,4.54%,28.75%,10.53%,21.75%,29.07%,-3.89%,34.31%,1.44%,20.97%,25.54%,36.29%,5.13%
"SWMR","NASD","Swarmer Inc","Technology","Software - Infrastructure",466.77,42.99,8.40%,394033,483.70,0.81,24.25%,14.09%,41.93%,,243.92%,,7.40%,96.08%,,,,41.91%,5.68%,11.29%,11.15%,-0.58%,3.15%,7.48%
"RBRK","NYSE","Rubrik Inc","Technology","Software - Infrastructure",21630.49,105.09,8.64%,4400838,3627.42,1.21,24.22%,30.74%,76.68%,90.66%,37.41%,19.31%,5.54%,3204.08%,61.43%,38.99%,,-2.26%,59.89%,8.31%,29.22%,33.42%,56.66%,7.60%
"BTG","AMEX","B2gold Corp","Basic Materials","Gold",6755.37,5.07,-2.69%,19466673,22948.57,0.85,23.96%,33.42%,-5.41%,-9.95%,12.42%,31.35%,6.07%,27.93%,173.11%,14.03%,37.31%,-6.73%,57.16%,4.95%,21.85%,23.92%,10.33%,-1.36%
"SHMD","NASD","SCHMID Group NV","Industrials","Specialty Industrial Machinery",392.16,5.50,3.58%,382324,882.34,0.43,23.87%,26.73%,-10.86%,-42.95%,-11.22%,111.54%,7.82%,,-100.11%,,,22.75%,5.99%,27.73%,23.67%,7.69%,-9.35%,3.38%
"AEHR","NASD","Aehr Test Systems","Technology","Semiconductor Equipment & Materials",4022.10,123.30,-4.59%,3005788,2491.20,1.21,23.62%,40.45%,19.42%,264.25%,510.70%,511.61%,12.22%,2000.00%,143.11%,33.69%,,2.96%,72.07%,13.93%,32.26%,32.52%,117.06%,0.24%
"AMPL","NASD","Amplitude Inc","Technology","Software - Application",1661.38,13.30,7.43%,2982284,2522.48,1.18,23.49%,37.97%,122.41%,98.21%,14.85%,14.26%,6.99%,18.25%,-42.49%,21.16%,64.69%,-1.67%,64.68%,9.19%,33.20%,52.85%,54.27%,7.26%
"TNDM","NASD","Tandem Diabetes Care Inc","Healthcare","Medical Devices",1609.35,23.13,-1.32%,1395293,2395.04,0.58,23.10%,51.37%,63.93%,17.65%,5.23%,107.82%,10.67%,54.17%,60.75%,5.59%,,7.25%,115.17%,16.36%,18.73%,32.44%,19.80%,-0.86%
